phenomenon,initials,hanzi_norm,hanzi_trunc,pinyin_norm,pinyin_trunc,pinyin_abbrev_norm,row_mean,row_median
BA_BEI_subj_drop,0.2167,0.47,0.93,0.74,0.97,0.65,0.6627833333333333,0.6950000000000001
BA_deletion,0.95,1.0,0.76,0.85,0.55,0.83,0.8233333333333334,0.84
BA_duplicate_argument,0.0,0.95,1.0,0.82,0.93,0.98,0.7799999999999999,0.94
BA_inversion,0.3667,0.67,0.59,0.6,0.77,0.59,0.5977833333333333,0.595
BA_meiba,0.0,1.0,0.98,1.0,0.99,0.36,0.7216666666666667,0.985
BA_negation,0.5533,0.68,0.85,0.91,1.0,0.58,0.7622166666666667,0.765
BA_no_progressive,0.02,0.53,0.52,0.97,0.98,0.13,0.525,0.525
BA_no_stative_verb,0.9933,0.14,0.52,0.07,0.62,1.0,0.5572166666666667,0.5700000000000001
BA_suo_adverbial_a,0.1167,0.6,0.77,0.78,0.86,0.75,0.6461166666666667,0.76
BA_suo_adverbial_b,0.13,0.75,0.89,0.99,0.97,0.55,0.7133333333333333,0.8200000000000001
BA_verb_le_a,0.0,0.97,0.91,0.68,0.4,0.61,0.595,0.645
BA_verb_le_b,1.0,0.66,0.7,0.68,0.65,0.99,0.7800000000000001,0.69
BEI_construction_a,0.4332999999999999,0.56,0.84,0.83,0.88,0.55,0.6822166666666667,0.6950000000000001
BEI_construction_b,0.4267,0.77,0.86,0.8,0.83,0.59,0.7127833333333333,0.785
BEI_deletion,0.98,0.54,0.37,0.51,0.79,0.73,0.6533333333333334,0.635
BEI_preposition,0.3,0.18,0.96,0.9,1.0,0.82,0.6933333333333334,0.86
PN_numP_a,0.15,0.25,0.58,0.49,0.49,0.68,0.44,0.49
PN_numP_b,0.7267,0.98,0.91,0.98,0.79,0.49,0.8127833333333334,0.8500000000000001
adjective_transitive_dui,0.87,0.88,0.98,0.88,0.89,0.81,0.8850000000000001,0.88
agent_animacy_adv,0.7067,0.77,0.64,0.7,0.61,0.78,0.7011166666666666,0.7033499999999999
agent_animacy_passive,0.6933,0.6,0.54,0.65,0.48,0.9,0.6438833333333333,0.625
agent_animacy_subj,0.5133,0.5,0.54,0.54,0.55,0.68,0.5538833333333334,0.54
